lauf=2026-09-26T13:14:03+00:00
1|2026-09-26|schwach|notleidend|Handelsblatt Finanzen|Stützungsfall: Bankhaus RSA hat fast 450 Millionen Euro an Garantien erhalten|Das oberbayerische Kreditinstitut benötigt eine deutlich höhere Unterstützung der BVR-Sicherungseinrichtung als bisher bekannt. Das Portfolio notleidender Kredite ist besonders groß.|https://www.handelsblatt.com/finanzen/banken-versicherungen/banken/stuetzungsfall-bankhaus-rsa-hat-fast-450-millionen-euro-an-garantien-erhalten/100257511.html
2|2026-09-25|schwach|Stellenabbau|Manager Magazin|Stellenabbau: Deutsche Konzerne führend im europäischen Vergleich|Die deutschen Dax-Konzerne haben im vergangenen Jahr im europäischen Vergleich die meisten Stellen abgebaut. Während bei den großen Unternehmen Jobs wegfallen, werden bei den kleineren aber auch neue geschaffen.|https://www.manager-magazin.de/unternehmen/stellenabbau-deutsche-konzerne-fuehrend-im-europaeischen-vergleich-a-3992897a-287a-4f39-9746-e2ca27d719b6#ref=rss
3|2026-09-26|schwach|Insolvenz,Pleite|WirtschaftsWoche Unternehmen|WiWo History: Die BenQ-Mobile-Pleite und das Ende der Siemens-Handys|Vor 20 Jahren schlug die Insolvenz von Benq Mobile Wellen. Kurz zuvor hatte Siemens seine verlustreiche Handysparte an das Unternehmen weitergereicht.|https://www.wiwo.de/unternehmen/industrie/benq-mobile-pleite-wie-siemens-seine-handysparte-verlor/100246485.html
4|2026-09-26|stark|insolvent|WELT Wirtschaft|„Systematisch als zinslose Kreditlinie genutzt“ – Spediteure revoltieren gegen Zeitfracht|Aus Zeitfracht wurde Kolibri 360 – doch der neue Name beendet den alten Ärger nicht. Immer mehr Spediteure lehnen sich gegen den Logistiker auf, fordern hohe Summen und ziehen vor Gericht. Ein früherer Partner ist inzwischen sogar insolvent.|https://www.welt.de/wirtschaft/plus6ab2200d708e760b5e06730d/systematisch-als-zinslose-kreditlinie-genutzt-spediteure-revoltieren-gegen-zeitfracht.html
5|2026-09-24|schwach|Pleite|Capital|DFB-Generalsekretär: „Wir wollen zurück in die Weltspitze“ / Capital+|Mit Jürgen Klopp als Bundestrainer versucht der DFB den Neustart. Im Interview spricht Generalsekretär Holger Blask über die wirtschaftliche Bilanz der WM-Pleite, Klopps Werbeverträge und den Wechsel von Adidas zu Nike|https://www.capital.de/wirtschaft-politik/dfb-generalsekretaer---wir-wollen-zurueck-in-die-weltspitze--38257288.html?utm_medium=standard&utm_source=rss
6|2026-09-25|schwach|Insolvenz|Boersen-Zeitung|Leichter Aufschwung kommt für deutsche Konsumgüterhersteller zu spät|Der prognostizierte leichte Wirtschaftsaufschwung kommt für viele deutsche Konsumgüterhersteller zu spät, ist zu schwach und kurzlebig. Neben Schließungen und Insolvenzen wird es auch mehr Übernahmen geben.|https://www.boersen-zeitung.de/news/bz-all-rss/meinung-analyse/zu-spaet-zu-schwach-und-kurzlebig
7|2026-09-25|schwach|Pleite|Boersen-Zeitung|Eigner übernimmt zweitgrößte deutsche Fluggesellschaft komplett – Staat steigt aus|Der Condor-Mehrheitseigner Attestor zieht eine Kaufoption und übernimmt komplett. Damit sind der Bund und das Land Hessen raus, die nach der Pleite der ehemaligen Mutter Thomas Cook eingesprungen waren.|https://www.boersen-zeitung.de/news/bz-all-rss/unternehmen-branchen/eigner-attestor-uebernimmt-condor-komplett-staat-steigt-aus-4
8|2026-09-25|schwach|Gewinnwarnung|Boersen-Zeitung|Hellofresh rutscht nach Gewinnwarnung auf Rekordtief|Die Aktie von Hellofresh bricht nach einer Gewinnwarnung ein. Das Unternehmen gewinnt weniger neue Kunden als erhofft und nährt damit ganz grundsätzliche Zweifel. Auch Airbus stehen unter Druck.|https://www.boersen-zeitung.de/news/bz-all-rss/kapitalmaerkte/hellofresh-rutscht-nach-gewinnwarnung-auf-rekordtief
9|2026-09-26|schwach|Gewinnwarnung|wallstreet-online|Aktien: KI-KURSE EXPLODIEREN; FEDS RÜCKEN AN DER WAND - Wochenausblick|Wir zeigen die Chancen und erklären, warum die starke Konzentration auf wenige Gewinner einen Rückschlag verschärfen könnte. Außerdem: HelloFresh und die zweite Gewinnwarnung.|https://www.wallstreet-online.de/nachricht/21434292-aktien-ki-kurse-explodieren-feds-ruecken-wand-wochenausblick
10|2026-09-23|stark|insolvent|Westfaelische Nachrichten|Kodi zieht sich aus Hiltrup zurück|Discounter auf dem Rückzug: Die insolvente Handelskette Kodi zieht sich aus Hiltrup und damit aus Münster zurück.|https://www.wn.de/muenster/stadtteile/hiltrup/kodi-zieht-sich-aus-hiltrup-zurueck-3658384?utm_source=RSS
11|2026-09-26|stark|insolvent|GNews Insolvenzantrag|Ruff’s Burger aus München: Dieser Hamburger Standort ist insolvent - abendblatt.de|Ruff’s Burger aus München: Dieser Hamburger Standort ist insolvent abendblatt.de|https://news.google.com/rss/articles/CBMi2gFBVV95cUxQbDVSZ0ViVG1ZQnpjbThWM3FxTnk3Yjg0MUFrakVBZnJQSGFjZXFtTUEtc3dNcGlMRjgwUWw5eDFtNlg1VXhJRDNQVzk3QlgxUGxfRHc0WWl0LXJyVy1CX2xwU0I0aG0xcHc3MVNSZk1WaHpiUkdtcGlQRGxqR3NGUGxIZ3hWTGtFOVhpdC1iZHdSaDRQNmF3NEZQSVA4MUtfWF80RXdBVFk4TThFM05VQ2VYZFNMR1Jub2tSMmFuemJ6WkVJTTlTQnRsWE9DMXI3d01rUW8zSkZkUQ?oc=5
