lauf=2026-09-19T08:33:38+00:00
101|2026-09-17|stark|Insolvenzantrag,Eigenverwaltung|GNews Verfahren/Verwalter|PANDION Aktie: Insolvenzantrag in Eigenverwaltung gestellt - Börse Global|PANDION Aktie: Insolvenzantrag in Eigenverwaltung gestellt Börse Global|https://news.google.com/rss/articles/CBMimAFBVV95cUxQMlhtWUJOQ3ZSd3U1T1dVSTBZcHZGRUJLMUVDSHQtb3BJbUZldzVrbmtjTlBjVlhIRVVveU80Tk9Gb2I4bk1KLVlQbVlxQ3JZTml1NEozWVUwYnB2cncwN3BfQTdpS2M2TFh2V2p4S2E1M2xVdTU3SkpoZEpIVEp3VEFQWUhmNkE4blpoakVJdlc3d0xtSlZ2YQ?oc=5
102|2026-09-18|schwach|Insolvenz|GNews Verfahren/Verwalter|Kündigungen wegen Insolvenz: Deutsches Möbel-Unternehmen baut 175 Stellen ab - BILD|Kündigungen wegen Insolvenz: Deutsches Möbel-Unternehmen baut 175 Stellen ab BILD|https://news.google.com/rss/articles/CBMi1AFBVV95cUxNRWZDenQ3bC02a0tQQk1ZcFJFcFE3UFZrS2pZUUI1NUdub1V0akQ0UXhNRmlpdjdpWGVackIwekMtLXNsMmJJZm1ZTk5uMTN2UHBsZ0NqR2ltbmh2ZTdBOUJpY3RQWnI5ektsbFhvRXoxRDAxczQ3bFhoaGFIa054TDRaYlpIREdFNzUwcUQ4WU80anVyS3IxeVlJajVSREZ5QkNsVGgxQkxxU2NYaU1ONUJBcmZWYkZGXzdxUWZ2c2VDalVuVG9xS056MnFwMHNNdU5qNw?oc=5
103|2026-09-17|stark|Insolvenzverwalter,Insolvenz|GNews Verfahren/Verwalter|5th-Avenue-Insolvenz: So schätzt der Insolvenzverwalter die Lage beim Zigarren-Importeur ein - Südkurier|5th-Avenue-Insolvenz: So schätzt der Insolvenzverwalter die Lage beim Zigarren-Importeur ein Südkurier|https://news.google.com/rss/articles/CBMi3gFBVV95cUxQby1DRFB6S05vWmZmdWVydTlQOFE1NWh3WmVQSHNQOXVvQjBWMUNEQUN6U0ZqNnZhTkgwNVBXc09pR1kwZTl1YWZUWG5mRDNwTVVfNUFsVklwZDIyVnNxTjdYaU90emZHMFlmZU9IVWRoRWVweEN6MWw2eVVPSUxTTzE3RmE3d09IeWl4WGhJc2w1VmVfbG05LTVYbFFnNGtYTm1DZXBmdmNWT0phbldFVnZEd3BKd2lNZUpxUmh4ZmRDWDdvdXBSZHdSSjhJSTgtX21GWWRNWEJjTGU1TXc?oc=5
104|2026-09-18|schwach|Pleite|GNews Verfahren/Verwalter|Pleite-Bremse am Inn: Wasserburger Gastronomie „Le Brasserie“ bleibt dicht – vorerst - Rosenheim24|Pleite-Bremse am Inn: Wasserburger Gastronomie „Le Brasserie“ bleibt dicht – vorerst Rosenheim24|https://news.google.com/rss/articles/CBMi6gFBVV95cUxPdU5kUlM0VFg3WGg5dzdxeUhUdFZvOWhCbFdjVmhaZTd2QUtfRUNGR1NycEJrWmwyTFJwWk1jbnlQcF80X2VJZDV1MUpMdTRIZFRDQl9yX2FQTHd6T0lldU00cXpmVjFPczRKRnBqX2xmOVhtVFNWNXl4blpKVWtTUHZzU2p1bjc2VzVvalZyMVJfWXZNSDNjbk1FbkctRzlYQjNPaHBaYzRBZW43Mk5mNTYwMjZzT3FPOUZHNTFJRXdnbE91NjBOR1dmYzZoTjZ5S0ZBaFZNYkRqX0Z5YzNPbmt1QkE3Q0hyM0E?oc=5
105|2026-09-17|stark|Insolvenzverfahren|GNews Verfahren/Verwalter|Hortilux, Agrilight und AP Nederland B.V.: Insolvenzverfahren - Gabot.de|Hortilux, Agrilight und AP Nederland B.V.: Insolvenzverfahren Gabot.de|https://news.google.com/rss/articles/CBMinwFBVV95cUxNY3hkWTJ1dGdlOW43cE1FS1N0RThablFaaVA4YjN3bjZKazJqaklxc0VqdVROdUE3aXVEYmpLeWhOanRPd21XVDRDVFpQcDZzRXRTRlBLeG01N0ZEcmtHRnB1Zk5GaXMxczZPREpXU21DNnBDS0dkVnpIY0pEMV9HZHo2a2djeUJBMkotR3REdXpVM0RpTGRtbEhiNkRoUFk?oc=5
106|2026-09-17|stark|Schutzschirmverfahren|GNews Verfahren/Verwalter|Einleitung von US-Schutzschirmverfahren zur finanziellen Restrukturierung bei Air Baltic - Aviation.Direct|Einleitung von US-Schutzschirmverfahren zur finanziellen Restrukturierung bei Air Baltic Aviation.Direct|https://news.google.com/rss/articles/CBMisgFBVV95cUxQT2Y2OC1KRTN4aGFLaVl3TVFybWhGZ0wweWFuTlA4NVdGb0pOTG0wUlpBdVBsc1JXdGlmdld2Q29UYWRWRnQxTFdfaGxWdzVWNkEzdUs5Y3h5QWVGYW9IZmFLUU5acEdiQUU0M3F4RFpqanNjTmJ0N3ZQckxHYUdLMkxWeHppRmNfMy1IRkhlY1Z1UDBYWk4tUzJVUFNSQ1pHSnpaY0xwV2JCdTVUdkxKSGlR?oc=5
107|2026-09-16|stark|meldet Insolvenz,Insolvenz|GNews Verfahren/Verwalter|Speicheranbieter RCT Power meldet Insolvenz an - pv magazine Deutschland|Speicheranbieter RCT Power meldet Insolvenz an pv magazine Deutschland|https://news.google.com/rss/articles/CBMijgFBVV95cUxNV3dwT2ZBS25XMUVGcTl4RkxjdnBKcExRSzAzNGRkei1feXU0b3NSejM3OVIyVUgxelAzQ3lpYkV6eEhvQjdmeHhtd09TVEhQRllINUFUVVd0RVcxOXJxbEpuT2tPa0JxcWl5ZzlBTDFjeEdSM2R3ZUpEYXF5eXdmN1JqMTVDcDFWTTRWYk1n?oc=5
108|2026-09-16|stark|Insolvenzverwalter|GNews Verfahren/Verwalter|Bad Königshofen: BSH Energie Bad Königshofen: Insolvenzverwalter macht Hoffnung auf Weiterbetrieb - Main-Post|Bad Königshofen: BSH Energie Bad Königshofen: Insolvenzverwalter macht Hoffnung auf Weiterbetrieb Main-Post|https://news.google.com/rss/articles/CBMi9AFBVV95cUxOWmRxaEhFTlFEMmZWZEpocDFvV2ZiWlgwaFJyNnYxU0p6MVVkMGRoeVZWSzJJMC1vMWlVamEwTVJEZG9NMVdYYWRfbDlUdnZRekx5NEUxNnFYRi1Cd2d5bV9JQkVlVktqUzVxREhPbFVSNC02ZE9RbXp1Q2NVcEF4cHA3NDZ0dnB5WUNIZG1oX0tNV0lLYzFoOGFiWXFvNUJqMUlxMnNuZWVYRk01T3JLNXAxOWpTdTh4QVZGX1NJeDVxV1lqWDFkUXZ0dWtjZzJIUEdRQ2lDS09KQldHWGFNU0ZKUFlpcFhOU2U1QXhMNWt6eUxR?oc=5
109|2026-09-16|schwach|Pleite|GNews Verfahren/Verwalter|Benko-Pleite hat weitere Folgen: Schock für Millionen Kunden von deutscher Versicherung - Börse Online|Benko-Pleite hat weitere Folgen: Schock für Millionen Kunden von deutscher Versicherung Börse Online|https://news.google.com/rss/articles/CBMi7wFBVV95cUxPQ1ktRU54eFZmOEpOT0cwakxUMTRsX093ZEpucl9KbXFFeHNOMVNfZENDYmg5T3lEV0xLRVlERTZHOXBzR0NKTXhKM1g2Y1pya2E2b1hCdGxEUEdvNkVuNEdDZFlpSGpCcERCdGcySHQtX1k4Y1FfSWhhc0k0R3ZrU0tDS2c3M3N0UHl2RTBVcUEwR0NFcU1kbU5YcHUxaERuQzJ1cWd6SngyX183T0lhSzktbGVhcXRhcTRjUl9NdjhFQjJ3UHoxX0VRd3RsUXB3ZVg1bTNXaEpQeFhCeXhuY0MtcWFtX29DSDZlcnM2RQ?oc=5
110|2026-09-17|stark|insolvent|GNews Verfahren/Verwalter|Die deutsche Tochter des Luxuslabels Bally ist insolvent - WiWo|Die deutsche Tochter des Luxuslabels Bally ist insolvent WiWo|https://news.google.com/rss/articles/CBMirwFBVV95cUxNT1ZwR3FJMFdBLWkwOHY4dmNocUUzdGRCbUhkZzkwUDBTSW5kazBNeFJwOWZSQTUtX2RzVTh1X2RvWU1BSlVFOXZWUTVJaWRjZV9uYUQ3X2Vfd2sxNHY0a2NHanVtaE9ORGFUZVBxajBTWlpCbUgtbHE1TFBBbDNuV2ptdnA0NVlOUnpsdTgzZ3E5WkJsSEtLX1BJOENnNkZTWTNIejA3T244MjlDZlBJ?oc=5
111|2026-09-18|stark|insolvent|GNews Verfahren/Verwalter|Baumärkte insolvent: Räumungsverkauf läuft – welche Filialen schließen und wer übernimmt - merkur.de|Baumärkte insolvent: Räumungsverkauf läuft – welche Filialen schließen und wer übernimmt merkur.de|https://news.google.com/rss/articles/CBMi0wFBVV95cUxNZjZ1RUxfZ0Q4dC1ZMDlBM0NkZktpODhxLXRNaVRUN0Q5YzZ0UGZ1TkRDY19Rb2pNelUyTHJnSm9nd0ptTXYzVEhKWTJWbDVOZU9hUnMzU2FpOE1pdklHclpad0NteVhmMjFhUVR3Q19NX0dBaUxfSlNkMlZTNG5YVXN2THZ6ZDhaTXpUVmpISnl2NnRtbW1EN0M1bEJsT3c1V2F4Skl6dHRYSU8zYXJMdUhwZnhSd09CVGt1WFhDSVBhd2ZHY21KdVduMjNleHlXR2t3?oc=5
112|2026-09-18|stark|insolvent|GNews Verfahren/Verwalter|„Ungewöhnliche externe Umstände“: Wegen Sanktionen gegen Verbrecherboss? Zigarren-Importeur ist insolvent - merkur.de|„Ungewöhnliche externe Umstände“: Wegen Sanktionen gegen Verbrecherboss? Zigarren-Importeur ist insolvent merkur.de|https://news.google.com/rss/articles/CBMiswFBVV95cUxPQ3J4V2dacWxZdXVLVXQtcTZlNGhfcXdLQXBKV095YXJqblhjbEVyTmNLM0M0S1dzYWhFN3B6dE9fT0xXT25iTzFURmZjYWlCV0lqVjdtSnpjUHQ0YXI1eTdQcG1XQmlOT2NJbUs5NXloVkxQeFQ1TFRfQ1pmdmRfcFVjcHhNRWRlN1B5aUJNdnhWeDY0bHZuYnJ2N1lMcy1taDZLWWs4bE5oSVRXc0ItUTBIOA?oc=5
113|2026-09-16|stark|insolvent|GNews Verfahren/Verwalter|Familienbetrieb in fünfter Generation: Traditionsbäckerei ist insolvent - T-Online|Familienbetrieb in fünfter Generation: Traditionsbäckerei ist insolvent T-Online|https://news.google.com/rss/articles/CBMi0wFBVV95cUxQTTZYLUphd1lEQWluMmtVTWh2bXYyeUpxTmtwSlB3bThvNVliVnBkWTExQzJJclJjOW5wZTRiVE5oV2FXSmxIallHM09saExCVXdGWWtuazJvcmRyY2RlaFJFaUFmNHRDeG1DdVRQcVptMXRJaG9hV2tyWGN4cVZPZ0tGRTV5VHQyYjNvWHBBYnIyb0d0eVV0enlIODBFNUF3TDZBUVRobDR4aDRlSXBzLWhhRW44aW9Ea1NzVXNqbS15d1M3eVhkMkZ0VWZVUkVTVzRZ?oc=5
114|2026-09-16|stark|insolvent|GNews Verfahren/Verwalter|Celsius verklagt die insolvente BitMEX-Börse auf Rückgabe von 6.360 verlorenen Bitcoin - BeInCrypto|Celsius verklagt die insolvente BitMEX-Börse auf Rückgabe von 6.360 verlorenen Bitcoin BeInCrypto|https://news.google.com/rss/articles/CBMicEFVX3lxTE5RVjNhVDBxb0JYMm5UTlNnaHhUTGhGZW1lbjNRMG9fQ3VXSGxyZWVodm1CS1JKNDJiR1RuQms0WldZdTRjVV9oeEJoMThZRnVRajB4bGtZWlpVZ2V4WU9pMmx6NmFqQlZuVHVOdlEycjM?oc=5
115|2026-09-18|stark|Restrukturierungsplan|GNews Sanierung/StaRUG|Gericht genehmigt Restrukturierungsplan von Gauzy - Investing.com Deutsch|Gericht genehmigt Restrukturierungsplan von Gauzy Investing.com Deutsch|https://news.google.com/rss/articles/CBMiqAFBVV95cUxPWm1ZenVYcXBXcG9ONmpDTmZhY1B2R1IzQzNqWFJzWWlRWDRiSFAyc3o0MnN6Z0dpSmdPUWV4OHY1M0FQcGNYRHo2eHZvZTFsRncyOVlkSHIwUmd4QlFleHA4SGUySXdIRC1RckFYa0dNU3k0bDZ1anBxTGNwSk40TmJVRUJ3NGh5YnBNcHF1d21aRGtHZjU4ZzBZOUhnaThoNWt0cXlpYTQ?oc=5
