lauf=2026-09-19T08:33:38+00:00
126|2026-09-17|schwach|Insolvenz|GNews Sanierung/StaRUG|53 Jobs: Haustechnik-Firma Tripus schlittert in die Insolvenz - Kleine Zeitung|53 Jobs: Haustechnik-Firma Tripus schlittert in die Insolvenz Kleine Zeitung|https://news.google.com/rss/articles/CBMiqwFBVV95cUxOTkNqZ1lDOVlsZW9oYTY2ZE9PSjBOVG8xR3F5S2V2NlpLcUlSenU4b2dsamYtZXcxNFpKOUVUQ3JXaWgyNEdEbzktM2xGc29ObDg1OVU0aGJqM25aNjZMSjRNX01FOUtlX2c5TWFfLWJDRkU1Yl9VRzJYa05TbTZYRzRhVEhQT2w2eXZjdFp4bTlsUWNqdTh3R2dpVHRrZHVsRHdKOUg5RS1rdzA?oc=5
127|2026-09-19|stark|sucht Investor|GNews Investorenprozess|Stabilisierungshilfe im Blick: Auerbach sucht Investor für Baugebiet „Kleintierzüchter“ - NN.de|Stabilisierungshilfe im Blick: Auerbach sucht Investor für Baugebiet „Kleintierzüchter“ NN.de|https://news.google.com/rss/articles/CBMixwFBVV95cUxQbHhXMlp2UWVyaGZKd25UZ2xYZkRVZkduaFA4MWRSVDRod3pfakNVZmtFZDNXc1dxeDR2SmVvNjBBMTlCZ3dETGdqTlY2dFJaMGpQVWN5M1BkTjVUWTRES05RdDVvUGhXd2NScWtuRWl3RVU5RWtTUFBGNGk4Tk1TTHRvbkhKbzI3NS1ZelgwVUlzdGN0MmZyM0xNMnpzR0JVbHlnVUx2TzktZjl5YkczSWRkSFpXdlNmcWhKY0F2T0JqakJGejYw?oc=5
128|2026-09-17|stark|sucht Investor|GNews Investorenprozess|Das Unternehmen "Seidensticker" sucht Investor:innen - WDR|Das Unternehmen "Seidensticker" sucht Investor:innen WDR|https://news.google.com/rss/articles/CBMiuAFBVV95cUxOTEJEZ0JkQzUzYVZXaXhFYmYzc3pJVDUtM0w0VEgtM1o2b2sxRGZBUk5vUHdnb2YzODVWQ0NOdXFWWkdmN1lxd1Z5VXpEOHBQUzV2Z3NvSXZpb24teXZxQ09XeVBWZkF5RVZXNGIzenlsRWIzTFdXUDFoTFhNVFNJbEhQN3VYeVZpcVZIcWhOOGR2djdsMmJCejZxLVJlWG81ZmcyWEpzLWJ4NVFwNkNSRDhuVzNyQWs40gG3AUFVX3lxTFBibHkzeG45bDdnaGdPZ2hLTk0yMklaejRTaTNkUGl1TEZsNlBFTm8xQXUxc2ZxVERQc1lWNkp1ZkhqX0hxOFdJQ1pacXl3dVZtcEFBNzUxQzlwYnZzSC16SFF3QjlLNjYwdndpRXFVVVRmTGVpYTIxMUgxNmlaMVdhMi16UE1yOHplRWpDelpYZlhxQmE5MmdpczZxRzI3UzBnbDgxdUFKUzRKbmcyakpXeTJ6YlJQbw?oc=5
129|2026-09-18|stark|sucht Investor|GNews Investorenprozess|Branche steckt in der Krise: Bielefelder Traditionsunternehmen Seidensticker sucht Investor - Neue Westfälische|Branche steckt in der Krise: Bielefelder Traditionsunternehmen Seidensticker sucht Investor Neue Westfälische|https://news.google.com/rss/articles/CBMi3AFBVV95cUxQNF9Md2hUMmhISXd5WUhhRERTVExCWTJVUmZPZGw5WHFRTDAtMTdoVC01RzhHNFl4XzlaUEozRXlYM21PbTNNZzNyRUNoUWF0YnozX0dNQWk4ZTNTc25BQjFGVlFUQnFvREpLU3VZSzVYdGVjM1hDNW1sM1loUHh3OFpQUWRSa3JtLTFsNmZrOTBUZXhtRU9kb1hrV0txb3JWZS1kR2RMLU9UUDkxeDViQkhaWENwRUdmV1JTWGNnYkg0VGJSOXV2RGctOUttRzZ5Z1ZYTlJadHVFRnRR?oc=5
130|2026-09-17|stark|sucht Investor|GNews Investorenprozess|Bielefelder Traditionsunternehmen Seidensticker sucht Investor - Lippische Landes-Zeitung|Bielefelder Traditionsunternehmen Seidensticker sucht Investor Lippische Landes-Zeitung|https://news.google.com/rss/articles/CBMinwFBVV95cUxPSWZzU2dRQ2RJRnZYRU5kRGlRWnZiTWwtM0s1TDhRb1MzNmJScE5ybGFvSjhHcWpPaEZtVVFEQm1ZVnZYdGNRUUxaZFJ4aEtaWmxVZjZfRDdsUmNYN05Hcm85V0lxQy1fYjVneVN2UTBvZjJrUEJyV3J1cDRFczluV2owb0lLdFY1bmQ3Q085bzRrTnd6NndHRVJicHN6aHc?oc=5
131|2026-09-16|stark|sucht Investor|GNews Investorenprozess|Bielefelder Traditionsunternehmen Seidensticker sucht Investor - Mindener Tageblatt|Bielefelder Traditionsunternehmen Seidensticker sucht Investor Mindener Tageblatt|https://news.google.com/rss/articles/CBMiqAFBVV95cUxOaW9SbXhLREl6YUV2UFdGMmpRd0hOYXZzSTIzc0VXLWxJRS1WWHdfb0pURk1DR3M3TXhYUGsyVThaU2pTcUNPbG9yOV94ZGxVRVlVV0FDZHRUZXVtdWlfWDNsTTNxR3JTQ09FSVU2ZzlEQ29KNUVYS2dkRjZ2azZNLWlyeTVmSXBaeDR3TkJ2U3lfLTM5bXNTa0VlVjdKSjZFdmFJRzU4UEU?oc=5
132|2026-09-16|stark|sucht Investor|GNews Investorenprozess|Wohnen in Tönisvorst: Stadt sucht Investor für Grundstück am Südviertel - RP Online|Wohnen in Tönisvorst: Stadt sucht Investor für Grundstück am Südviertel RP Online|https://news.google.com/rss/articles/CBMivgFBVV95cUxQbmFnMVhBUVpLdVIzaDZwRGRZbWMyWGo3TmptUmtpZ0RESkFidXVFS1BjUklEbmpMS0xqTXpET1A1Mk90NGV4V1draXhaQzVsRzlSVEsza2NwbjhnTVB5VHJuaWVsa0FFQjVkZ3VTUWd1Y0lpdV93LUhCbnJRRUIzZmxRc1JDUjdMUW1qM3QwMTNub21BcU1Zb3EyendtSmZUR1AwSTFjc1VtbUN2QWRwX2ZHbGZLMm5zYVNzTEV3?oc=5
133|2026-09-18|stark|sucht Investor|GNews Investorenprozess|Großer Rückschlag: Erkelenz sucht Investor für Tiny-House-Siedlung - RP Online|Großer Rückschlag: Erkelenz sucht Investor für Tiny-House-Siedlung RP Online|https://news.google.com/rss/articles/CBMitgFBVV95cUxQVXBnWHQyc3MzSUFNd1QtQ1JEU3otZndyRlJvTVp0SDM2TngtMk5TcVBxbEtFX1FZc1ZqSmdrSjc0dm10LXZiNUhNYXNmdG10TlVIQWd6dHpLX2otckFEMWVCbjhvaFMwY1F2dG1VY1h6S1N4U29NZm9SaGpYYXQ3RnJJckNrUXFXb2VQNmlmUDhWUXJKYzBBMU5TMHpEYXNraTVwSlZYMGdFOU5kMFRWRExOWXpHdw?oc=5
134|2026-09-18|stark|Moratorium|GNews Fruehsignal|Geburtsstationen - Kein Moratorium gegen Schließungen - rbb24.de|Geburtsstationen - Kein Moratorium gegen Schließungen rbb24.de|https://news.google.com/rss/articles/CBMiwwFBVV95cUxNMmZmRi02U0RvMWhkSkIyNnpKbXNrTE5mUEhwSVdGN2tuM1dIWjl3MVBXS2xVSFh3R3ZhbzFCeVc1YXFXX0FpdWItU1BBUUhHVERRQktFZ0M1c2RQZTc4b1RBcDlGZmlucW4tV2pvNGVld2RCRVVjcXdpWjdWZnRSbjlVc2lENnl5Ym11SjFmNklMREo4ZWcxZjZZVzBnaWpNa3U4SDd0eFpRczl5dlg3MktNTU1iWHVPMWI4M2M4ZHJ5THM?oc=5
135|2026-09-18|stark|Überschuldung|GNews Fruehsignal|Überschuldung steigt: Alleinerziehende brauchen früh Unterstützung - Berliner Morgenpost|Überschuldung steigt: Alleinerziehende brauchen früh Unterstützung Berliner Morgenpost|https://news.google.com/rss/articles/CBMiwgFBVV95cUxPbEx2UF9kd1lYenJXQXpxNm4xRlRZUC1jbkNkZ1FtT0tURDczeHU2eFVwQnZlRlhWd3oxSXVmMDhFcGpXZEFjOXhxcXRUazRMbGhqSkdfX3J2WWRtS2M4XzhnTGZvdC1sck0wTXdERF9UOGl6STg2RXg5eHQzaWlxWkNOZmRNdHFXN2ZsRm9kN1BKMVhqTTFveVZSMlgxOVZFblVwdURqOWE2d2tuYnpBemFlZHdjZmdWYV9SZXctZDJQUQ?oc=5
136|2026-09-18|stark|Überschuldung|GNews Fruehsignal|Überschuldung: Was treibt Millionen Menschen in die Schuldenfalle? - WiWo|Überschuldung: Was treibt Millionen Menschen in die Schuldenfalle? WiWo|https://news.google.com/rss/articles/CBMiugFBVV95cUxPcGdiRl9aN1ZJeVhtYzV5YjFKdGtSNUcyZmUzMnNITXRYMjdDNlFUN3Vma2pMcENRSlNYdDJJblktLU1ERGtEZ1lMbFljb1M1WkhNNGRqMUVoXzFKd2d1ZElvbnVVMkh5Q1JJSnRsZVFFa09GUk55ejlOYnRQRDlmMVcwcXk1YXNlcUFxaDlrTFc2WG1Hb1ZWZUFDYzNhSDl1VTdnZExWTk5rZUk5eno4SHFEQVhmcGZQa1E?oc=5
