lauf=2026-09-10T08:36:18+00:00
151|2026-09-07|stark|Sanierungsverfahren|GNews Sanierung/StaRUG|Autohaus-Kette Wahl: Sanierungsverfahren für 1000 Beschäftigte - ad-hoc-news.de|Autohaus-Kette Wahl: Sanierungsverfahren für 1000 Beschäftigte ad-hoc-news.de|https://news.google.com/rss/articles/CBMirwFBVV95cUxNSFd4RXNMaXBBTXZtTk1ZWFlkNkgzcFRPVkpmYVpoTG9fdnNiSV9tRWRtSFBqSFg1eGZicFdZRXdFYXpWUG1rZjBnd3Z0aDB1WnVNeUI4MWphUlBIaEJud3hSQXl3OTdtUk9OdDFDc3hWZEdQVGx3S01ka3NKYWRYTHVORHZYc0kyLWFkX2FCa0xZdmlaUklzTFZ4Q3Rxc29PVGFHa3hjYWNBb29Ob3NF?oc=5
152|2026-09-08|stark|insolvent|GNews Sanierung/StaRUG|Jetzt auch der älteste BMW-Händler der Welt insolvent – 1000 Jobs in Gefahr - merkur.de|Jetzt auch der älteste BMW-Händler der Welt insolvent – 1000 Jobs in Gefahr merkur.de|https://news.google.com/rss/articles/CBMiwwFBVV95cUxQYzZ1WU9SQUwyR2ZTc1RaZzlvVnJGY3JZYnhaSG9DSjJ2UDd0TnRXdTAwMFlNTW1VY3hsNVJfaHpyVDRmSGY2Q3Baa3hnMmEtbFJXSHBKLVBkMnhQWE94SVRRX0NXR2tvT05ESGFvWTRMUng3cmVXT2d5THd6V0F6U25xeFBwNThLVGZyZW9MQlM5R3R1YVJvcDl5MFAxSkp4LVFIYnk1dXVDSXV3R0pWVGFUbzFpRWZqYUZEOXpnWXF3QTA?oc=5
153|2026-09-09|stark|Restrukturierungsplan|GNews Sanierung/StaRUG|Vietnam Airlines (HVN) erzielte im ersten Halbjahr einen Gewinn von über 3.800 Milliarden VND und beschleunigte damit ihren Restrukturierungsplan. - V|Vietnam Airlines (HVN) erzielte im ersten Halbjahr einen Gewinn von über 3.800 Milliarden VND und beschleunigte damit ihren Restrukturierungsplan. Vietnam.vn|https://news.google.com/rss/articles/CBMisgFBVV95cUxPM3laT1JJcGhQY0xjNzNPVk1IS3VPTmVzRkR5MUVsVVVUSnFFU25CNEc3V2FlOTl6TFZZTGhOZkJrX2FlSDFpMV9jTW5EaEFHS3JINnNxUkpHUVAteWJ6THRPZERfU0tKcGVoWWotaF80alJ6TEVxeXdkcjBaQmozckdheFN1bGxZaUtRRnJfWi13Z3lRb3VPbUpFVndRU1hYX2xWYTZSZW15ZkszX2ZVTmJR?oc=5
154|2026-09-08|stark|insolvent|GNews Sanierung/StaRUG|"Sanierungsplan nicht angemessen": Werbeagentur in Wolfsberg insolvent - MeinBezirk.at|"Sanierungsplan nicht angemessen": Werbeagentur in Wolfsberg insolvent MeinBezirk.at|https://news.google.com/rss/articles/CBMimAFBVV95cUxQZFJBbUxvWl9kWDdmbUFDbGlGQXUzaUoxaHlMMUVPMmxvTGlaV0hHTVYzNjl2Zk9jUzBPN215RkZTM1BvRklkcEw3ZlcyMFRsSjBCXzVici1aR1RHS29Ha0lodjFJVXdWZ3J1NV9LOTJiQm5TVEV5ZE9id0pvMUNiTWUyUU1nRzlMeTRLc1dtSEMxRzM2N2RXdA?oc=5
155|2026-09-08|schwach|Insolvenz|GNews Sanierung/StaRUG|„Nicht durchzuhalten“: Insolvenz von großer Autohaus- und Werkstattkette – gegründet 1898 - merkur.de|„Nicht durchzuhalten“: Insolvenz von großer Autohaus- und Werkstattkette – gegründet 1898 merkur.de|https://news.google.com/rss/articles/CBMiuwFBVV95cUxNSmhzNkNxaWd2cGFtMkx4NC1iNEd6RVpVLTJCWXF4UTVxekktNDdkeFhoOW42MFFSZ3N2Y1M2YVFTbjZfLWwtaDEwdWUtdW4tMXdKYzlMUC1tUDMzeW4ycGdHUXMwVzlIQ1JGQnRndTk1YTVLaXFrX3k4LWJBOE8yak8wVV9lYzBCQkZ5MDFVX1o1V0g3TWJnc29mX2xiVVNaSkNWOHNlQ18xdmJIX2xwQzFsTnFELUJkTXFN?oc=5
156|2026-09-07|schwach|Pleite|GNews Sanierung/StaRUG|Premiumräder, Millionenlast, zweite Pleite: Simplon kämpft erneut ums Überleben - Fuldaer Zeitung|Premiumräder, Millionenlast, zweite Pleite: Simplon kämpft erneut ums Überleben Fuldaer Zeitung|https://news.google.com/rss/articles/CBMi4wFBVV95cUxQbkRTWkFBWll4UVJNb1dzMUFnSXVYanJKXzBTbzBzT0k1cEN3dnViRUUwbi13UkpxbV9GeGh6WkFQLXNZZzNDN1FZRUd5R0xRTnhtZnNGZ2RqSFNqa29nTC1JaS1LTFJyRk1XQjFPeHFpNTVCMXBFc0M3WHp0TEZ2dnZwV3hYWWxBb2lZTElwbVJ5VXF2cU1WR3dxS3F2N016ZDNwZXRpOWlnRGE1TmNSRThwWkczczdvX0NVS2FGT3BycS1qdG84aTA3MWFQVkF2WTFpYnFKdEVyNHNxR0dOcURCMA?oc=5
157|2026-09-07|stark|insolvent|GNews Sanierung/StaRUG|Autohaus insolvent: 1.000 Mitarbeiter betroffen - weekend.at|Autohaus insolvent: 1.000 Mitarbeiter betroffen weekend.at|https://news.google.com/rss/articles/CBMidkFVX3lxTE5IS2piaGpCWHVldmh5c044TzFNZUdJN2s5WVY3RnNyRHBSOUYwWjVIMjh0TjFBVkNMZWNvTkVUSnVVd2U0ZXc5Rk9Xak52MzhMdWgwdXp1OXNQYUVSM2xpQ2lsUTVfOEdGRlRwcWR2UzdPc3MzV1E?oc=5
158|2026-09-08|schwach|Insolvenz|GNews Sanierung/StaRUG|Werbeagentur in Wolfsberg beantragt Insolvenz wegen unangemessenem Sanierungsplan - Welt Stimme|Werbeagentur in Wolfsberg beantragt Insolvenz wegen unangemessenem Sanierungsplan Welt Stimme|https://news.google.com/rss/articles/CBMitwFBVV95cUxONW1pMUZiYTlnLWFBLXhIb05IOFZYVTJaWFJ3WTJRcHRvRndJNUtzVHlOZy1Vc0s1OW1JY1JwNkFBbGhtZlkxWVQ4M1FpNFJOWE45QlhZSF9iWkpQanNmWEZWaW54MEVtOHlTTWQzR1RjRHAyeFpKbnVycjZLZndaa2RIY3llM05ldUJscVh3SS12VVdzeVlqRTRpbnlkbVlTdmRnVTZEd1g0cktybTdYcjUydXIyeU0?oc=5
159|2026-09-09|stark|Insolvenzverfahren eröffnet,Insolvenzverfahren|GNews Investorenprozess|MP Lackierungen in Twist: Vorläufiges Insolvenzverfahren eröffnet - noz.de|MP Lackierungen in Twist: Vorläufiges Insolvenzverfahren eröffnet noz.de|https://news.google.com/rss/articles/CBMitgFBVV95cUxOS3c3M2IwRzQ4VzJGM0c2YnliUVhDbmxWUzBqelh2RFN1Y1lxY2loVVVaem8wLW9UQjJ0NFJub1NMRG5xMVVKdmNReXpRZjV2NzZFOEFoNDlJN0RZcU8tbkNuMmQ5b0pwbVFYa19tRF9wOTJNN1JWQWwzZ3ZRS1RYc0d6ZGhmVGtuRVRmbzhMTUh2dTdxQVZEZGV6bWtVbDZfRUxBdVNpTHZlWmZ5NjQyVVh3WkpsQQ?oc=5
160|2026-09-08|stark|Investor gesucht|GNews Investorenprozess|Investor gesucht Recklinghäuser Polizei erhält jetzt auch in Bottrop ein neues Dienstgebäude - recklinghaeuser-zeitung.de|Investor gesucht Recklinghäuser Polizei erhält jetzt auch in Bottrop ein neues Dienstgebäude recklinghaeuser-zeitung.de|https://news.google.com/rss/articles/CBMi2gFBVV95cUxQZ0JTU2VzT2lmT0tyNVk3Z1JNem1tOXBWazVkOS1qLVpnMEtka2tZS01iWEdXLWxTRDZ3UFZWVGdzeHAyYzJrcnpvaDRHcWVBcUduRGlGM0ZieWRWa1VHM3RYU0VYVHRmYl96QUU4Tlk1ay1MVC1CREFEbjQ2UWZtc19PZ096c3VBY2otZUNBcjRBb1diUzU0THYwSEMwd0dPVFdsLXZKNzB5UVQzdEI4dFhaMFZta1pqTzJwNnl4ckJ1eFdNa0xRZkFla2hJTzFUdS1QWUhFREJhQQ?oc=5
161|2026-09-09|stark|Überschuldung|GNews Fruehsignal|Deutscher Städtetag sorgt sich um Überschuldung der Städte und Kommunen - tagesschau.de|Deutscher Städtetag sorgt sich um Überschuldung der Städte und Kommunen tagesschau.de|https://news.google.com/rss/articles/CBMiX0FVX3lxTE15VENnOUxXWndlS3Iwd2xESS1POXpqUFFjSTR1RnBfdWNoaDluYUk1TG5VMUJWQWZJWmlvbkE3eVZVVVhBaC14NTJHZ2VhVXZPVFdGbmUyN21yS2hpUmhJ?oc=5
